item_id,order_id,product_id,quantity,price
I5000,O1000,P035,1,18.18
I5001,O1000,P048,1,92.62
I5002,O1000,P021,1,91.12
I5003,O1001,P044,1,65.0
I5004,O1002,P045,1,21.42
I5005,O1003,P029,1,150.37
I5006,O1003,P011,1,27.96
I5007,O1004,P013,2,57.76
I5008,O1005,P023,2,37.56
I5009,O1005,P041,1,33.49
I5010,O1005,P015,2,56.79
I5011,O1006,P011,1,27.96
I5012,O1006,P042,1,31.85
I5013,O1006,P027,1,45.29
I5014,O1007,P006,1,799.47
I5015,O1008,P036,1,21.91
I5016,O1008,P007,1,242.84
I5017,O1009,P028,1,59.26
I5018,O1010,P007,1,242.84
I5019,O1010,P037,1,70.0
I5020,O1011,P016,1,45.01
I5021,O1012,P013,1,57.76
I5022,O1012,P027,2,45.29
I5023,O1013,P016,1,45.01
I5024,O1013,P050,1,52.19
I5025,O1014,P017,1,92.82
I5026,O1014,P029,1,150.37
I5027,O1014,P033,1,75.1
I5028,O1015,P033,2,75.1
I5029,O1016,P014,1,55.21
I5030,O1016,P035,1,18.18
I5031,O1017,P009,1,95.1
I5032,O1018,P032,1,52.62
I5033,O1019,P014,1,55.21
I5034,O1019,P048,1,92.62
I5035,O1019,P011,1,27.96
I5036,O1020,P033,2,75.1
I5037,O1021,P015,1,56.79
I5038,O1022,P028,1,59.26
I5039,O1023,P017,1,92.82
I5040,O1023,P010,2,89.0
I5041,O1023,P026,2,230.73
I5042,O1023,P039,1,12.02
I5043,O1023,P009,1,95.1
I5044,O1024,P016,1,45.01
I5045,O1025,P029,1,150.37
I5046,O1025,P044,1,65.0
I5047,O1025,P049,1,54.92
I5048,O1025,P010,1,89.0
I5049,O1026,P011,1,27.96
I5050,O1026,P021,2,91.12
I5051,O1027,P039,1,12.02
I5052,O1027,P023,1,37.56
I5053,O1028,P014,2,55.21
I5054,O1028,P039,1,12.02
I5055,O1028,P047,2,100.81
I5056,O1028,P033,2,75.1
I5057,O1029,P013,1,57.76
I5058,O1030,P027,1,45.29
I5059,O1030,P017,1,92.82
I5060,O1031,P038,1,54.95
I5061,O1031,P003,1,178.53
I5062,O1031,P009,1,95.1
I5063,O1032,P014,3,55.21
I5064,O1033,P017,1,92.82
I5065,O1033,P050,2,52.19
I5066,O1033,P023,1,37.56
I5067,O1033,P047,1,100.81
I5068,O1034,P033,1,75.1
I5069,O1034,P025,1,207.07
I5070,O1034,P003,1,178.53
I5071,O1034,P011,1,27.96
I5072,O1035,P010,1,89.0
I5073,O1035,P046,1,20.94
I5074,O1035,P029,1,150.37
I5075,O1035,P049,1,54.92
I5076,O1036,P030,1,151.89
I5077,O1037,P014,3,55.21
I5078,O1037,P021,1,91.12
I5079,O1037,P013,1,57.76
I5080,O1038,P047,1,100.81
I5081,O1038,P039,2,12.02
I5082,O1039,P033,1,75.1
I5083,O1039,P045,1,21.42
I5084,O1039,P036,1,21.91
I5085,O1040,P029,1,150.37
I5086,O1042,P016,3,45.01
I5087,O1042,P044,1,65.0
I5088,O1042,P022,2,93.94
I5089,O1043,P045,1,21.42
I5090,O1044,P022,1,93.94
I5091,O1045,P038,1,54.95
