order_id,customer_id,order_date,total_amount,status
O1000,C0002,2025-05-31 10:10:00,201.92,completed
O1001,C0002,2025-08-13 02:41:00,65.0,completed
O1002,C0002,2025-11-10 02:51:00,21.42,completed
O1003,C0002,2026-03-06 01:19:00,178.33,completed
O1004,C0002,2026-03-09 17:24:00,115.52,returned
O1005,C0005,2025-06-23 00:01:00,222.19,completed
O1006,C0005,2025-08-01 14:13:00,105.1,completed
O1007,C0005,2025-10-22 19:47:00,799.47,completed
O1008,C0005,2025-11-24 22:17:00,264.75,completed
O1009,C0005,2025-12-12 18:32:00,59.26,completed
O1010,C0005,2026-01-03 06:20:00,312.84,completed
O1011,C0005,2026-03-27 09:42:00,45.01,cancelled
O1012,C0005,2026-04-30 01:35:00,148.34,completed
O1013,C0006,2025-03-20 17:36:00,97.2,processing
O1014,C0006,2025-07-14 16:04:00,318.29,completed
O1015,C0006,2025-08-21 23:53:00,150.2,returned
O1016,C0006,2025-09-08 20:34:00,73.39,completed
O1017,C0006,2025-10-26 03:19:00,95.1,completed
O1018,C0006,2025-11-13 05:02:00,52.62,completed
O1019,C0006,2026-01-06 15:55:00,175.79,completed
O1020,C0006,2026-03-21 05:13:00,150.2,returned
O1021,C0006,2026-04-03 10:23:00,56.79,processing
O1022,C0007,2025-12-13 20:58:00,59.26,completed
O1023,C0008,2025-10-08 21:58:00,839.4,completed
O1024,C0008,2026-02-04 16:03:00,45.01,cancelled
O1025,C0008,2026-02-26 12:05:00,359.29,completed
O1026,C0008,2026-04-06 23:56:00,210.2,completed
O1027,C0009,2025-04-06 14:42:00,49.58,completed
O1028,C0009,2025-06-20 08:52:00,474.26,completed
O1029,C0009,2025-09-05 15:18:00,57.76,completed
O1030,C0009,2025-09-16 13:48:00,138.11,completed
O1031,C0009,2025-10-06 21:24:00,328.58,completed
O1032,C0009,2025-10-26 08:23:00,165.63,completed
O1033,C0009,2025-12-22 04:36:00,335.57,completed
O1034,C0009,2026-02-05 16:35:00,488.66,completed
O1035,C0009,2026-03-14 17:17:00,315.23,completed
O1036,C0009,2026-04-29 01:18:00,151.89,completed
O1037,C0010,2025-05-04 08:44:00,314.51,completed
O1038,C0010,2025-05-21 19:12:00,124.85,completed
O1039,C0010,2025-05-29 11:27:00,118.43,completed
O1040,C0010,2025-06-09 17:23:00,150.37,completed
O1042,C0010,2025-10-11 06:12:00,387.91,cancelled
O1043,C0010,2025-11-19 10:23:00,21.42,completed
O1044,C0010,2025-12-18 05:21:00,93.94,completed
O1045,C0010,2026-01-16 09:15:00,54.95,completed
O1046,C0010,2026-02-03 11:29:00,118.52,completed
O1047,C0010,2026-03-05 00:51:00,150.41,completed
O1048,C0010,2026-03-15 10:17:00,94.67,completed
O1049,C0010,2026-03-19 20:16:00,212.5,processing
O1050,C0010,2026-03-26 16:34:00,164.76,completed
O1051,C0011,2025-03-31 23:40:00,419.31,completed
O1052,C0011,2025-08-26 22:39:00,65.0,completed
O1053,C0011,2025-10-01 00:13:00,230.73,completed
O1054,C0011,2025-12-23 21:25:00,69.41,completed
O1055,C0011,2026-01-22 10:29:00,125.16,completed
O1056,C0011,2026-04-28 14:53:00,613.35,completed
O1058,C0012,2025-09-26 14:49:00,1030.73,completed
O1059,C0012,2026-03-16 05:17:00,21.42,completed
O1060,C0013,2025-09-15 13:59:00,163.77,completed
O1062,C0013,2026-04-09 18:34:00,264.66,cancelled
O1063,C0014,2025-03-26 18:02:00,151.89,cancelled
O1064,C0015,2026-01-19 17:13:00,57.76,processing
O1065,C0015,2026-02-26 17:54:00,45.01,completed
O1066,C0017,2025-05-17 14:01:00,476.41,completed
O1068,C0018,2025-03-27 15:47:00,68.9,completed
O1069,C0018,2025-05-14 02:54:00,86.52,returned
O1070,C0018,2025-06-23 11:03:00,87.22,completed
O1071,C0018,2025-07-14 11:26:00,228.98,completed
O1072,C0018,2025-07-25 15:16:00,225.25,completed
O1073,C0018,2025-09-22 00:56:00,70.0,completed
O1074,C0018,2025-10-16 20:50:00,106.51,completed
O1075,C0018,2025-11-16 01:02:00,353.21,completed
O1076,C0018,2025-12-17 00:55:00,52.19,completed
O1077,C0018,2026-01-16 17:27:00,107.6,returned
O1078,C0018,2026-04-24 05:51:00,38.7,completed
O1079,C0019,2026-04-07 23:57:00,207.07,processing
O1080,C0020,2025-08-05 23:07:00,148.54,completed
O1082,C0020,2025-11-09 01:49:00,209.06,completed
O1083,C0020,2025-12-17 16:59:00,210.2,completed
O1084,C0020,2026-01-18 19:07:00,185.64,completed
O1085,C0021,2026-02-24 05:15:00,123.95,completed
O1086,C0023,2025-09-25 21:17:00,854.42,completed
O1087,C0023,2025-12-23 08:56:00,12.78,completed
O1088,C0023,2026-01-17 20:54:00,12.02,completed
O1089,C0023,2026-03-03 23:33:00,820.25,completed
O1090,C0023,2026-04-29 11:51:00,475.1,completed
O1091,C0024,2026-04-02 22:27:00,93.94,completed
O1092,C0024,2026-04-26 01:08:00,18.18,completed
